=========VI ACT===============, -2021.82, 58.06, -3756.54,
6.*Blugrug the Living Plague, -2540.91, 7.38, -4906.68,
6.*Bollag Keeper of the Gates, -2661.19, 22.51, -4340.05,
6.*Bollag 1, -2803.11, 19.00, -4351.19,
6.*Bollag 2, -2802.63, 19.00, -4416.49,
6.*Bollag 3, -2848.63, 19.12, -4397.29,
6.*Bollag 4, -2899.14, 15.24, -4258.61,
6.*Galakros the Mountain, 1026.28, 7.67, -4949.21,
6.*Hagalvar the Bone Monger 1, 429.78, -5.89, -5505.19,
6.*Hagalvar the Bone Monger 2, 395.80, 0.69, -5452.81,
6.*Hagalvar the Bone Monger 3, 448.35, 1.51, -5434.90,
6.*Haraxis Fleshweaver 1, -2977.05, 4.39, -3742.06,
6.*Haraxis Fleshweaver 2, -3079.95, 12.71, -3893.18,
6.*Haraxis Fleshweaver 3, -2997.53, 19.05, -3862.80,
6.*Hinissius Fleshshaper 1, -306.22, -8.59, -4661.77,
6.*Hinissius Fleshshaper 2, -303.11, -6.32, -4611.53,
6.*Hinissius Fleshshaper 3, -197.74, 8.06, -4608.71,
6.*Hinissius Fleshshaper 4, -229.35, 0.27, -4668.02,
6.*Krieg Fleshweaver , 334.96, -8.65, -5402.75,
6.*Rodalgar the Flesh Collector 1, 423.23, -8.26, -5549.16,
6.*Rodalgar the Flesh Collector 2, 513.53, 0.72, -5488.08,
6.*Rodalgar the Flesh Collector 3, 558.95, -7.19, -5542.48,
6.*Rodalgar the Flesh Collector 4, 479.61, -5.84, -5552.54,
6.*Terrnox 1, 773.55, -4.00, -4296.01,
6.*Terrnox 2, 780.67, -18.00, -4406.02,
6.*Valaxteria, -3095.01, 28.92, -4347.25,
6.Chamber of the High Council, -454.46, 16.62, -5561.30,
6.The Infestation - Gate, 307.66, -8.35, -4947.80,
6.Portal to Cinder Wastes 1, -2344.16, 4.99, -4110.12,
6.Portal to Cinder Wastes 2, -2140.92, 5.00, -4178.41,
6.Portal to Cinder Wastes 3, -2231.68, 5.07, -4074.76,
6.Sanctum of the Chosen, -1024.43, 24.80, -5331.32,
6.Malmouth Bounty Table, -2766.01, 28.79, -4052.27,
6.Orders - Blazragarus 1, -2511.34, 15.35, -4381.39,
6.Orders - Blazragarus 2, -2388.11, 13.07, -4417.56,
6.Orders - Blazragarus 3, -2485.94, 13.24, -4280.12,
6.Orders - Blazragarus 4, -2546.15, 16.53, -4226.88,
6.Orders - Bluggraag Blazebarf 1, 1083.45, 9.17, -4851.84,
6.Orders - Bluggraag Blazebarf 2, 1148.07, 8.21, -4920.47,
6.Orders - Bluggraag Blazebarf 3, 1031.21, 6.20, -4805.30,
6.Orders - Bluggraag Blazebarf 4, 849.56, 7.14, -4815.59,
6.Orders - Torraxsteria 1, -3055.81, 37.68, -4257.67,
6.Orders - Torraxsteria 2, -3049.99, 38.75, -4382.61,
6.Orders - Torraxsteria 3, -3147.36, 47.51, -4411.02,
6.Orders - Torraxsteria 4, -3194.53, 29.58, -4320.11,
6.Orders - Torraxsteria 5, -3142.55, 37.70, -4254.69,
6.Orders - Stormtitan 1, -2957.85, 4.55, -3756.08,
6.Orders - Stormtitan 2, -3082.29, 12.64, -3852.44,
6.Orders - Stormtitan 3, -2993.05, 19.34, -3857.73,
6.Orders - Stormtitan 4, -2877.64, 28.86, -3920.49,
